depth	slug_path	url
1	MII-IG-Modul-Consent	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent?version=2025.0.4
2	MII-IG-Modul-Consent/AnwendungsflleInformationsmodell	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/AnwendungsflleInformationsmodell?version=2025.0.4
2	MII-IG-Modul-Consent/Beschreibung-Modul-Consent	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/Beschreibung-Modul-Consent?version=2025.0.4
2	MII-IG-Modul-Consent/KontextimGesamtprojektBezgezuanderenModulen	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/KontextimGesamtprojektBezgezuanderenModulen?version=2025.0.4
2	MII-IG-Modul-Consent/Referenzen	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/Referenzen?version=2025.0.4
2	MII-IG-Modul-Consent/TechnischeImplementierung	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung?version=2025.0.4
3	MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungdesModuls	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/BeschreibungvonSzenarienfrdieAnwendungdesModuls?version=2025.0.4
3	MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/Datenstzeinkl.Beschreibungen?version=2025.0.4
3	MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/Fragebgen	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/Fragebgen?version=2025.0.4
3	MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/UML	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/AnwendungsflleInformationsmodell/UML?version=2025.0.4
3	MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile?version=2025.0.4
3	MII-IG-Modul-Consent/TechnischeImplementierung/Terminologien	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung/Terminologien?version=2025.0.4
4	MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/Consent	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/Consent?version=2025.0.4
4	MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/DocumentReference	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/DocumentReference?version=2025.0.4
4	MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/Provenance	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/Provenance?version=2025.0.4
4	MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/WeitererelevanteProfile	https://simplifier.net/guide/mii-ig-modul-consent-2025/MII-IG-Modul-Consent/TechnischeImplementierung/FHIRProfile/WeitererelevanteProfile?version=2025.0.4
